dirid,fullname,ethnicity
374.0,WILLIAM C STEERE JR,Caucasian
375.0,JEAN-PAUL VALLES,Caucasian
376.0,ROGER A ENRICO,Caucasian
377.0,M ANTHONY BURNS,Caucasian
378.0,CHARLES D WAY,Caucasian
379.0,G EDWIN MCCRANIE,Caucasian
380.0,JAMES M SHOEMAKER JR,Caucasian
383.0,BENJAMIN STRAUSS,Caucasian
386.0,WOLFGANG R SCHMITT,Caucasian
389.0,C R PALMER,Caucasian
391.0,HENRY B TIPPIE,Caucasian
392.0,JOSEPH F PAQUETTE JR,Caucasian
393.0,CORBIN A. MCNEILL JR.,Caucasian
395.0,RICHARD H. GLANTON,African-American
396.0,JOHN P MULRONEY,Unknown
397.0,DONALD R BEALL,Caucasian
398.0,WILLIAM T MCCORMICK JR,Caucasian
399.0,JOSEPH F TOOT JR,Caucasian
400.0,PHILIP J. QUIGLEY,Caucasian
401.0,TONI REMBE,Caucasian
402.0,WILLIS B WOOD JR,Caucasian
405.0,JEREMIAH J SHEEHAN,Caucasian
406.0,PAUL R DUNCAN,Caucasian
407.0,PAUL B FIREMAN,Unknown
409.0,JAMES C PIGOTT,Unknown
411.0,FERDINAND COLLOREDO-MANSFELD,Unknown
412.0,RAKESH GANGWAL,Asian
413.0,STEPHEN M. WOLF,Caucasian
414.0,ROBERT C BUHRMASTER,Caucasian
415.0,WILLIAM J. PULTE,Caucasian
417.0,E. JAMES (JIM) FERLAND,Caucasian
418.0,LAWRENCE R. CODEY,Caucasian
419.0,T. J. DERMOT DUNPHY,Caucasian
420.0,PHILIP G SATRE,Unknown
421.0,JEFFREY H BROTMAN,Caucasian
422.0,RICHARD D. DICERCHIO,Caucasian
423.0,JAMES D SINEGAL,Caucasian
424.0,RICHARD M. LIBENSON,Caucasian
425.0,JOHN W. MEISENBACH,Caucasian
426.0,EDGAR G. HOTARD,Caucasian
427.0,H WILLIAM LICHTENBERGER,Unknown
428.0,RICHARD B MADDEN,Unknown
429.0,JOSEPH C FARRELL,Unknown
430.0,J J MULVA,Caucasian
432.0,THOMAS H O'BRIEN,Caucasian
433.0,JAMES E ROHR,Caucasian
434.0,ROBERT H CAMPBELL,Caucasian
435.0,MYLES J SLOSBERG,Unknown
436.0,ROGER W. STONE,Caucasian
437.0,DOUGLAS W. LEATHERDALE,Caucasian
438.0,RONALD A MATRICARIA,Caucasian
439.0,RONALD T LEMAY,Caucasian
440.0,WILLIAM T ESREY,Caucasian
441.0,DUBOSE AUSLEY,Caucasian
442.0,CRANDALL C. BOWLES,Caucasian
444.0,A W DAHLBERG,Caucasian
445.0,H FRANKLIN,Caucasian
447.0,RONALD L KUEHN JR,Caucasian
448.0,JOHN G BREEN,Caucasian
449.0,THOMAS A COMMES,Caucasian
452.0,RICHARD J KOGAN,Caucasian
453.0,ROBERT D. KREBS,Caucasian
455.0,JAMES L PAYNE,Caucasian
456.0,MARC J SHAPIRO,Caucasian
457.0,WARREN E. BUFFETT,Caucasian
458.0,CHARLES T MUNGER,Caucasian
459.0,LOUIS A SIMPSON,Caucasian
461.0,BOH A DICKEY,Caucasian
462.0,JUDITH M. RUNSTAD,Caucasian
463.0,JOHN E BRYSON,Caucasian
464.0,BERNARD CAMMARATA,Caucasian
465.0,WILLIAM R TIMKEN JR,Caucasian
466.0,WARD J TIMKEN,Caucasian
467.0,JOHN M TIMKEN JR,Caucasian
469.0,T KEVIN DUNNIGAN,Caucasian
470.0,CLYDE R MOORE,Caucasian
471.0,LEWIS B CAMPBELL,Caucasian
472.0,JAMES F HARDYMON,Caucasian
474.0,ERLE NYE,Caucasian
475.0,ALLEN J KROWE,Unknown
476.0,WILLIAM P. RUTLEDGE,Caucasian
477.0,DONALD B RICE,Caucasian
479.0,THOMAS J. PERKINS,Caucasian
481.0,CHARLES W MUELLER,Caucasian
482.0,WILLIAM H. JOYCE,Caucasian
483.0,W CRAIG MCCLELLAND,Caucasian
484.0,JAMES M REED,Caucasian
485.0,RICHARD D. MCCORMICK,Caucasian
486.0,JOSHUA GREEN III,Caucasian
487.0,MICHAEL W WRIGHT,Caucasian
488.0,EDWIN C GAGE,Caucasian
489.0,L PHILLIP HUMANN,Caucasian
491.0,DARRYL F ALLEN,Caucasian
492.0,JOHN W MADIGAN,Unknown
493.0,JAMES DIMON,Unknown
494.0,SANFORD I WEILL,Caucasian
495.0,KENNETH J BIALKIN,Caucasian
496.0,MACKEY J MCDONALD,Caucasian
497.0,M RUST SHARP,Caucasian
498.0,WILLIAM U PARFET,Caucasian
499.0,JAMES F ORR III,Caucasian
500.0,GEORGE DAVID,Caucasian
503.0,ROBERT M HERNANDEZ,Caucasian
505.0,VINCENT A GIERER JR.,Caucasian
506.0,KEITH E. BAILEY,Caucasian
507.0,BRUCE S. CHELBERG,Caucasian
508.0,WILLIAM D MAROHN,Caucasian
509.0,DAVID R. WHITWAM,Caucasian
510.0,DONALD F. FLYNN,Caucasian
511.0,JOHN W CREIGHTON JR,Unknown
512.0,JOHN A. LUKE JR.,Caucasian
515.0,PAUL HAZEN,Caucasian
517.0,DAVID D GLASS,Unknown
519.0,JACK C SHEWMAKER,Caucasian
520.0,ROBERT J. HURST,Caucasian
521.0,DALE F FREY,Caucasian
525.0,ELBERT O HAND,Caucasian
526.0,H JOHN RILEY JR,Caucasian
527.0,JON EM JACOBY,Caucasian
528.0,DAVID R BANKS,Caucasian
530.0,YOTARO KOBAYASHI,Asian
531.0,WILLIAM WRIGLEY JR,Caucasian
532.0,RICHARD K SMUCKER,Caucasian
533.0,RALPH J. ROBERTS,Caucasian
534.0,JULIAN A BRODSKY,Unknown
535.0,BRIAN L. ROBERTS,Caucasian
536.0,SHELDON M. BONOVITZ,Caucasian
538.0,R WALTRIP,Caucasian
539.0,L WILLIAM HEILIGBRODT,Caucasian
540.0,W WALTRIP,Caucasian
541.0,JAMES M. RINGLER,Caucasian
542.0,WARREN L. BATTS,Caucasian
543.0,WILLIAM CLAY FORD,Caucasian
545.0,EDSEL B. FORD II,Caucasian
546.0,TERRENCE MURRAY,Caucasian
547.0,"IRVING W. BAILEY, II",Caucasian
548.0,HAROLD A WAGNER,Caucasian
549.0,ROBERT E ALLEN,Unknown
